web-scraper-order;categoryLink;bookLink-href;title;price;ratingClass
1760744251-21;Self Help;https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html;Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress;�52.15;star-rating Three
1760744253-22;Self Help;https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html;How to Be Miserable: 40 Strategies You Already Use;�46.03;star-rating One
1760744255-1;Crime;https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html;The Long Shadow of Small Ghosts: Murder and Memory in an American City;�10.97;star-rating One
1760744255-23;Self Help;https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html;Online Marketing for Busy Authors: A Step-By-Step Guide;�46.35;star-rating One
1760744259-2;Erotica;https://books.toscrape.com/catalogue/dark-notes_800/index.html;Dark Notes;�19.19;star-rating Five
1760744260-24;Academic;https://books.toscrape.com/catalogue/logan-kade-fallen-crest-high-55_384/index.html;Logan Kade (Fallen Crest High #5.5);�13.12;star-rating Two
1760744263-3;Cultural;https://books.toscrape.com/catalogue/amid-the-chaos_788/index.html;Amid the Chaos;�36.58;star-rating One
1760744264-25;Spirituality;https://books.toscrape.com/catalogue/a-new-earth-awakening-to-your-lifes-purpose_311/index.html;A New Earth: Awakening to Your Life's Purpose;�55.65;star-rating Five
1760744266-26;Spirituality;https://books.toscrape.com/catalogue/unreasonable-hope-finding-faith-in-the-god-who-brings-purpose-to-your-pain_505/index.html;Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain;�46.33;star-rating Two
1760744267-4;Politics;https://books.toscrape.com/catalogue/equal-is-unfair-americas-misguided-fight-against-income-inequality_617/index.html;Equal Is Unfair: America's Misguided Fight Against Income Inequality;�56.86;star-rating One
1760744268-27;Spirituality;https://books.toscrape.com/catalogue/if-i-gave-you-gods-phone-number-searching-for-spirituality-in-america_564/index.html;If I Gave You God's Phone Number....: Searching for Spirituality in America;�20.91;star-rating One
1760744269-5;Politics;https://books.toscrape.com/catalogue/why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html;Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond;�52.65;star-rating Four
1760744270-28;Spirituality;https://books.toscrape.com/catalogue/chasing-heaven-what-dying-taught-me-about-living_797/index.html;Chasing Heaven: What Dying Taught Me About Living;�37.80;star-rating Two
1760744271-6;Politics;https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html;Libertarianism for Beginners;�51.33;star-rating Two
1760744273-29;Spirituality;https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html;The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;�32.24;star-rating Five
1760744275-7;Health;https://books.toscrape.com/catalogue/the-art-and-science-of-low-carbohydrate-living_570/index.html;The Art and Science of Low Carbohydrate Living;�52.98;star-rating Five
1760744275-30;Spirituality;https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html;The Four Agreements: A Practical Guide to Personal Freedom;�17.66;star-rating Five
